"RESP_NO","REGION","Q1","Q6A","Q6B","Q6C","Q6D","Q6E","Q29B","Q37H","Q38A","Q38B","Q38F","Q84A","Q94","Q100","vio_97_21","night_2020mean","year"
"MLI0063",509,42,0,3,0,3,0,5,3,3,3,3,515,2,1,41,46.9902593332753,2017
"MLI0064",509,25,0,0,0,0,2,1,3,2,2,2,516,5,1,41,46.9902593332753,2017
"MLI0065",509,54,0,0,0,0,3,1,2,3,3,3,508,8,1,41,46.9902593332753,2017
"MLI0066",509,64,0,0,0,0,2,4,3,1,1,1,517,9,1,41,46.9902593332753,2017
"MLI0067",509,20,2,4,2,3,3,4,3,1,2,1,501,4,2,41,46.9902593332753,2017
"MLI0068",509,35,2,0,2,3,4,1,3,2,3,3,516,2,2,41,46.9902593332753,2017
"MLI0069",509,20,0,0,0,0,0,4,1,3,1,3,517,4,2,41,46.9902593332753,2017
"MLI0070",509,54,0,2,4,2,4,2,1,3,3,3,510,0,2,41,46.9902593332753,2017
"MLI0071",509,65,0,0,0,0,1,1,3,1,1,2,501,8,1,41,46.9902593332753,2017
"MLI0072",509,48,0,0,0,2,2,1,3,0,1,3,511,2,2,41,46.9902593332753,2017
"MLI0073",509,28,0,1,0,0,0,4,1,2,1,2,501,0,2,41,46.9902593332753,2017
"MLI0074",509,54,0,0,0,0,1,1,1,3,3,3,513,6,2,41,46.9902593332753,2017
"MLI0075",509,30,0,2,0,0,4,1,3,2,3,3,517,0,1,41,46.9902593332753,2017
"MLI0076",509,19,0,0,0,0,2,5,3,1,1,2,501,4,1,41,46.9902593332753,2017
"MLI0077",509,25,0,0,0,0,2,1,3,1,1,1,517,7,1,41,46.9902593332753,2017
"MLI0078",509,85,1,1,2,2,1,3,2,2,2,2,501,3,1,41,46.9902593332753,2017
"MLI0079",509,34,0,0,0,2,0,1,3,0,1,2,501,8,1,41,46.9902593332753,2017
"MLI0080",509,23,1,2,1,1,2,4,3,2,1,3,505,0,2,41,46.9902593332753,2017
"MLI0081",509,24,0,0,0,0,2,5,3,1,2,2,501,1,1,41,46.9902593332753,2017
"MLI0082",509,22,0,0,0,0,2,3,3,2,2,2,505,7,1,41,46.9902593332753,2017
"MLI0083",509,42,0,0,0,1,3,1,1,1,1,1,509,0,2,41,46.9902593332753,2017
"MLI0084",509,45,0,0,0,0,1,1,3,0,0,0,517,0,2,41,46.9902593332753,2017
"MLI0085",509,52,0,0,0,0,2,2,3,1,1,3,511,3,1,41,46.9902593332753,2017
"MLI0086",509,30,0,0,0,0,0,1,3,2,1,1,515,3,1,41,46.9902593332753,2017
"MLI0087",509,23,0,0,0,0,1,4,3,1,1,2,516,0,2,41,46.9902593332753,2017
"MLI0088",509,70,0,0,0,0,1,2,3,2,0,3,505,0,2,41,46.9902593332753,2017
"MLI0089",509,25,0,0,0,0,0,4,0,2,3,2,501,8,2,41,46.9902593332753,2017
"MLI0090",509,79,0,0,0,0,2,1,3,9,9,1,513,4,2,41,46.9902593332753,2017
"MLI0091",509,32,0,0,0,0,0,4,1,0,1,1,502,2,2,41,46.9902593332753,2017
"MLI0092",509,36,3,3,0,3,2,4,3,2,3,0,513,2,1,41,46.9902593332753,2017
"MLI0093",509,52,0,0,2,0,3,1,0,3,3,3,508,4,1,41,46.9902593332753,2017
"MLI0094",509,19,0,0,0,0,2,1,1,0,1,2,501,0,2,41,46.9902593332753,2017
"MLI0095",509,18,0,0,2,0,2,1,2,0,0,2,501,4,1,41,46.9902593332753,2017
"MLI0096",509,62,0,0,0,4,3,2,3,2,3,2,501,2,1,41,46.9902593332753,2017
"MLI0097",509,28,0,0,0,1,4,5,3,1,3,2,501,6,1,41,46.9902593332753,2017
"MLI0098",509,28,0,0,2,2,3,1,3,3,3,1,501,4,1,41,46.9902593332753,2017
"MLI0099",509,23,0,2,0,1,1,1,2,2,2,3,503,8,1,41,46.9902593332753,2017
"MLI0100",509,57,0,0,0,0,1,1,3,3,3,3,504,0,1,41,46.9902593332753,2017
"MLI0101",509,37,0,0,2,3,1,1,1,3,2,3,513,0,2,41,46.9902593332753,2017
"MLI0102",509,55,0,0,0,0,0,2,1,3,3,3,501,1,1,41,46.9902593332753,2017
"MLI0103",509,27,3,3,3,3,4,4,1,2,2,2,511,3,1,41,46.9902593332753,2017
"MLI0104",509,30,0,4,4,3,3,1,3,2,1,0,517,1,2,41,46.9902593332753,2017
"MLI0105",509,68,2,2,2,1,4,1,3,2,2,3,501,2,2,41,46.9902593332753,2017
"MLI0106",509,41,0,0,0,0,2,4,3,9,1,1,501,2,1,41,46.9902593332753,2017
"MLI0107",509,21,0,4,2,3,2,2,3,2,3,1,501,4,1,41,46.9902593332753,2017
"MLI0108",509,19,0,0,3,1,4,1,1,3,3,1,501,4,1,41,46.9902593332753,2017
"MLI0109",509,65,0,2,2,0,3,1,3,3,3,3,504,1,1,41,46.9902593332753,2017
"MLI0110",509,81,0,4,3,1,4,1,3,2,2,2,501,0,1,41,46.9902593332753,2017
"MLI0111",509,18,0,0,0,0,2,1,3,3,3,3,501,5,2,41,46.9902593332753,2017
"MLI0112",509,30,1,0,0,0,0,1,3,2,1,1,501,0,2,41,46.9902593332753,2017
"MLI0113",509,34,0,0,0,0,2,1,3,1,1,2,515,5,1,41,46.9902593332753,2017
"MLI0114",509,22,0,1,0,0,1,2,3,1,1,0,511,0,2,41,46.9902593332753,2017
"MLI0115",509,45,0,2,2,0,4,4,3,0,0,1,513,0,2,41,46.9902593332753,2017
"MLI0116",509,50,0,0,0,0,2,4,3,1,2,1,501,1,2,41,46.9902593332753,2017
"MLI0117",509,47,3,4,2,1,3,4,3,2,1,2,501,2,2,41,46.9902593332753,2017
"MLI0118",509,60,0,0,2,0,3,1,3,3,3,3,501,0,2,41,46.9902593332753,2017
"MLI0119",509,23,0,0,0,0,0,1,0,2,2,2,511,5,1,41,46.9902593332753,2017
"MLI0120",509,45,0,0,1,0,2,2,3,1,1,3,511,0,2,41,46.9902593332753,2017
"MLI0121",509,28,0,0,0,0,4,1,1,3,1,3,505,5,2,41,46.9902593332753,2017
"MLI0122",509,29,0,1,1,3,3,2,3,1,2,2,501,0,2,41,46.9902593332753,2017
"MLI0123",509,38,3,2,2,1,4,1,3,0,0,1,504,0,2,41,46.9902593332753,2017
"MLI0124",509,75,3,2,4,3,4,1,1,3,3,3,501,0,1,41,46.9902593332753,2017
"MLI0125",509,40,0,0,0,0,1,1,3,1,1,1,501,0,1,41,46.9902593332753,2017
"MLI0126",509,29,1,3,1,2,3,1,2,3,3,3,501,8,1,41,46.9902593332753,2017
"MLI0127",509,27,0,0,0,0,1,1,3,1,2,3,516,4,1,41,46.9902593332753,2017
"MLI0128",509,46,2,1,3,3,4,1,3,1,1,1,501,0,1,41,46.9902593332753,2017
"MLI0129",509,46,0,0,0,1,4,5,3,1,1,3,517,5,2,41,46.9902593332753,2017
"MLI0130",509,37,0,0,0,0,0,5,3,0,2,3,513,3,1,41,46.9902593332753,2017
"MLI0131",509,18,2,0,2,1,3,3,3,1,1,3,517,2,1,41,46.9902593332753,2017
"MLI0132",509,24,0,1,0,0,1,4,1,1,1,1,503,8,1,41,46.9902593332753,2017
"MLI0133",509,25,0,0,0,0,2,1,3,1,1,2,501,2,2,41,46.9902593332753,2017
"MLI0134",509,50,0,0,0,0,0,1,3,2,1,2,513,0,2,41,46.9902593332753,2017
"MLI0135",509,63,0,4,3,4,4,5,3,3,3,3,501,2,2,41,46.9902593332753,2017
"MLI0136",509,35,0,0,0,2,3,5,3,2,3,3,501,2,2,41,46.9902593332753,2017
"MLI0137",509,32,0,1,0,0,3,1,3,1,0,2,509,4,2,41,46.9902593332753,2017
"MLI0138",509,35,0,0,1,0,2,2,3,1,1,1,501,5,2,41,46.9902593332753,2017
"MLI0139",509,42,0,0,0,0,0,3,1,1,1,1,503,8,2,41,46.9902593332753,2017
"MLI0140",509,21,0,0,0,0,2,4,3,1,1,1,509,7,1,41,46.9902593332753,2017
"MLI0141",509,40,0,1,0,0,2,4,3,1,2,3,501,2,1,41,46.9902593332753,2017
"MLI0142",509,20,0,0,0,0,0,1,0,3,2,2,515,7,2,41,46.9902593332753,2017
"MLI0143",509,37,4,0,3,4,4,1,3,3,3,3,517,5,1,41,46.9902593332753,2017
"MLI0144",509,33,2,2,2,0,4,2,2,0,3,3,501,0,2,41,46.9902593332753,2017
"MLI0145",509,54,0,0,0,0,1,3,3,3,3,3,510,5,2,41,46.9902593332753,2017
"MLI0146",509,40,0,0,0,0,3,1,3,3,3,3,501,4,1,41,46.9902593332753,2017
"MLI0147",509,44,0,3,2,3,3,5,3,2,1,0,501,2,1,41,46.9902593332753,2017
"MLI0148",509,43,0,0,0,0,1,1,3,2,1,2,501,4,1,41,46.9902593332753,2017
"MLI0149",509,40,0,0,0,0,2,5,3,1,2,2,9995,0,1,41,46.9902593332753,2017
"MLI0150",509,24,0,0,1,0,0,1,3,3,3,3,513,4,1,41,46.9902593332753,2017
"MLI0151",509,26,0,0,2,0,3,5,3,1,3,0,505,2,2,41,46.9902593332753,2017
"MLI0152",509,44,0,0,0,0,2,1,3,2,3,3,501,4,1,41,46.9902593332753,2017
"MLI0153",503,25,0,0,0,0,2,4,2,2,1,2,505,6,2,9,0.0495318379683881,2017
"MLI0154",503,54,2,0,0,3,3,1,3,1,1,1,501,1,2,9,0.0495318379683881,2017
"MLI0155",502,18,0,0,0,0,1,5,2,1,1,2,503,4,2,16,0.13272089071165,2017
"MLI0156",502,35,0,1,1,2,3,4,3,9,1,1,501,0,1,16,0.13272089071165,2017
"MLI0157",502,19,0,0,0,0,0,1,3,1,2,2,511,5,1,16,0.13272089071165,2017
"MLI0158",503,20,1,2,1,0,3,2,3,3,3,3,513,4,2,9,0.0495318379683881,2017
"MLI0159",503,50,0,0,0,0,0,5,1,1,1,3,513,2,2,9,0.0495318379683881,2017
"MLI0160",502,39,0,0,2,0,3,5,9,9,9,2,511,8,1,16,0.13272089071165,2017
"MLI0161",503,41,1,2,1,0,2,3,3,3,3,3,515,6,1,9,0.0495318379683881,2017
"MLI0162",502,48,0,0,1,0,1,2,2,9,0,9,501,0,2,16,0.13272089071165,2017
"MLI0163",502,67,3,0,2,2,4,2,3,2,1,3,501,0,1,16,0.13272089071165,2017
"MLI0164",503,35,0,0,0,1,2,1,3,2,3,2,501,2,1,9,0.0495318379683881,2017
"MLI0165",502,40,0,0,0,0,2,4,3,1,1,1,501,0,2,16,0.13272089071165,2017
"MLI0166",503,38,0,0,0,0,0,1,3,2,1,1,513,1,1,9,0.0495318379683881,2017
"MLI0167",502,65,0,3,2,3,2,2,3,1,9,3,501,5,2,16,0.13272089071165,2017
"MLI0168",503,44,0,0,0,0,0,1,9,0,0,1,509,2,1,9,0.0495318379683881,2017
"MLI0169",504,39,0,0,0,0,3,2,2,1,1,1,501,0,2,32,0.0611532329622025,2017
"MLI0170",504,42,0,4,4,0,3,2,3,0,0,0,513,0,1,32,0.0611532329622025,2017
"MLI0171",503,35,2,2,3,0,3,1,3,2,2,2,501,0,2,9,0.0495318379683881,2017
"MLI0172",503,70,0,0,4,0,4,4,3,9,9,2,501,0,2,9,0.0495318379683881,2017
"MLI0173",503,35,0,0,1,0,1,4,3,3,3,3,501,1,2,9,0.0495318379683881,2017
"MLI0174",504,60,0,4,4,2,4,2,3,2,2,2,513,1,2,32,0.0611532329622025,2017
"MLI0175",504,63,1,4,1,0,3,4,3,1,1,0,501,0,1,32,0.0611532329622025,2017
"MLI0176",503,30,0,0,0,0,0,4,3,0,0,1,501,2,2,9,0.0495318379683881,2017
"MLI0177",505,35,0,0,0,0,0,4,2,1,1,1,501,8,2,109,0.0240549279862928,2017
"MLI0178",503,50,0,1,2,0,2,1,3,2,2,3,501,1,1,9,0.0495318379683881,2017
"MLI0179",505,52,3,0,2,3,3,5,3,9,9,0,504,0,1,109,0.0240549279862928,2017
"MLI0180",503,48,0,2,2,0,3,1,3,1,1,2,501,0,1,9,0.0495318379683881,2017
"MLI0181",505,45,0,0,1,0,1,2,3,1,2,1,501,1,2,109,0.0240549279862928,2017
"MLI0182",505,48,0,0,0,0,0,1,3,2,2,3,9995,9,1,109,0.0240549279862928,2017
"MLI0183",504,19,0,4,4,0,4,4,3,0,0,0,501,0,2,32,0.0611532329622025,2017
