"RESP_NO","REGION","Q1","Q6A","Q6B","Q6C","Q6D","Q6E","Q29B","Q37H","Q38A","Q38B","Q38F","Q84A","Q94","Q100","vio_97_21","night_2020mean","year"
"MLI0707",504,30,1,2,1,1,4,4,3,1,1,2,502,0,2,378,0.0836327634784406,2022
"MLI0708",504,45,4,4,0,0,2,4,3,0,0,1,502,2,1,378,0.0836327634784406,2022
"MLI0709",504,50,0,4,0,0,3,4,3,1,1,1,502,2,1,378,0.0836327634784406,2022
"MLI0710",504,22,3,0,2,0,4,1,1,2,2,2,502,4,2,378,0.0836327634784406,2022
"MLI0711",503,19,0,2,0,0,4,4,3,2,1,1,514,7,1,80,0.0571139595521401,2022
"MLI0712",503,32,2,2,0,0,3,3,3,1,2,2,500,3,2,80,0.0571139595521401,2022
"MLI0713",503,22,0,0,0,0,0,2,3,2,2,1,500,3,2,80,0.0571139595521401,2022
"MLI0714",503,66,0,0,0,0,2,4,3,2,2,3,515,0,2,80,0.0571139595521401,2022
"MLI0715",501,21,3,0,0,0,0,4,3,1,0,0,512,4,2,51,0.0677829536032446,2022
"MLI0716",501,26,2,0,0,0,2,1,3,2,2,3,508,2,2,51,0.0677829536032446,2022
"MLI0717",501,38,2,0,2,0,3,1,1,1,1,2,9990,4,2,51,0.0677829536032446,2022
"MLI0718",501,30,0,3,1,0,3,4,3,1,1,1,512,6,1,51,0.0677829536032446,2022
"MLI0719",503,28,0,0,0,2,3,3,3,0,1,1,514,4,1,80,0.0571139595521401,2022
"MLI0720",503,32,0,0,0,0,1,4,2,2,2,2,514,1,1,80,0.0571139595521401,2022
"MLI0721",503,55,0,0,0,0,0,4,3,0,0,0,502,5,2,80,0.0571139595521401,2022
"MLI0722",503,37,0,0,0,0,0,4,3,0,1,1,508,6,1,80,0.0571139595521401,2022
"MLI0723",502,61,0,0,0,0,0,4,3,0,0,1,515,2,1,77,0.238176564560548,2022
"MLI0724",502,60,0,0,3,4,2,4,3,9,1,9,515,0,1,77,0.238176564560548,2022
"MLI0725",502,18,0,0,0,0,0,4,3,1,1,2,515,0,1,77,0.238176564560548,2022
"MLI0726",502,18,0,0,0,0,4,4,3,1,2,2,515,2,1,77,0.238176564560548,2022
"MLI0727",502,60,0,0,0,4,0,4,3,1,1,1,515,0,1,77,0.238176564560548,2022
"MLI0728",504,20,3,3,0,0,0,4,3,1,1,2,517,4,2,378,0.0836327634784406,2022
"MLI0729",504,25,0,0,0,0,4,4,3,1,3,3,514,0,1,378,0.0836327634784406,2022
"MLI0730",504,35,2,4,0,4,3,4,3,0,0,1,510,2,2,378,0.0836327634784406,2022
"MLI0731",504,19,0,0,0,2,1,3,0,1,1,2,512,2,1,378,0.0836327634784406,2022
"MLI0732",502,20,0,0,0,0,4,4,3,1,1,1,515,2,2,77,0.238176564560548,2022
"MLI0733",502,45,0,0,0,0,2,2,9,9,9,9,515,0,2,77,0.238176564560548,2022
"MLI0734",501,42,2,3,3,0,3,1,3,0,1,2,508,8,1,51,0.0677829536032446,2022
"MLI0735",501,26,0,0,0,3,3,3,3,1,1,1,500,2,2,51,0.0677829536032446,2022
"MLI0736",501,19,2,4,3,2,3,4,3,1,1,2,512,0,2,51,0.0677829536032446,2022
"MLI0737",503,44,0,4,0,0,0,4,3,1,1,1,514,0,2,80,0.0571139595521401,2022
"MLI0738",501,53,0,0,2,4,3,3,2,0,2,3,508,0,2,51,0.0677829536032446,2022
"MLI0739",503,35,0,0,2,0,2,4,3,0,1,1,514,0,1,80,0.0571139595521401,2022
"MLI0740",502,35,0,2,4,4,4,4,3,2,1,3,515,0,2,77,0.238176564560548,2022
"MLI0741",503,40,1,0,0,0,2,3,3,1,1,1,514,0,2,80,0.0571139595521401,2022
"MLI0742",503,30,0,0,0,0,3,3,3,1,2,2,514,2,2,80,0.0571139595521401,2022
"MLI0743",504,37,4,0,3,4,4,1,1,1,2,2,504,0,2,378,0.0836327634784406,2022
"MLI0744",504,38,0,2,0,0,0,4,3,1,1,1,502,6,1,378,0.0836327634784406,2022
"MLI0745",504,19,0,4,0,0,2,4,3,0,0,1,510,4,1,378,0.0836327634784406,2022
"MLI0746",504,35,1,2,1,3,3,3,3,1,1,2,512,3,2,378,0.0836327634784406,2022
"MLI0747",501,23,0,0,0,4,3,4,3,0,1,0,508,4,1,51,0.0677829536032446,2022
"MLI0748",501,43,0,3,4,2,4,4,3,0,1,1,508,3,2,51,0.0677829536032446,2022
"MLI0749",501,38,0,0,0,0,2,4,3,2,2,3,9990,0,1,51,0.0677829536032446,2022
"MLI0750",503,42,0,1,0,0,2,4,3,1,1,3,514,0,1,80,0.0571139595521401,2022
"MLI0751",503,60,4,3,0,0,4,4,3,0,0,0,514,0,2,80,0.0571139595521401,2022
"MLI0752",503,23,2,1,0,0,4,4,3,0,0,1,514,4,1,80,0.0571139595521401,2022
"MLI0753",503,45,0,2,0,0,1,4,3,2,2,3,514,4,1,80,0.0571139595521401,2022
"MLI0754",501,38,0,4,0,3,4,1,3,9,9,9,512,0,1,51,0.0677829536032446,2022
"MLI0755",504,47,3,4,2,2,4,4,3,1,1,1,512,0,1,378,0.0836327634784406,2022
"MLI0756",504,41,2,3,1,3,3,1,3,1,1,1,512,0,1,378,0.0836327634784406,2022
"MLI0757",504,35,2,4,2,0,4,2,3,0,1,1,512,0,2,378,0.0836327634784406,2022
"MLI0758",504,35,0,0,1,0,1,4,3,1,1,1,512,0,2,378,0.0836327634784406,2022
"MLI0759",504,40,3,4,4,4,4,1,3,0,1,1,512,0,2,378,0.0836327634784406,2022
"MLI0760",504,32,2,1,1,2,4,3,2,1,1,3,512,0,2,378,0.0836327634784406,2022
"MLI0761",504,58,0,4,0,0,3,4,3,1,1,1,512,0,1,378,0.0836327634784406,2022
"MLI0762",504,36,0,4,0,4,4,3,3,0,1,1,512,0,1,378,0.0836327634784406,2022
"MLI0763",502,62,1,0,0,1,2,4,3,0,0,0,500,2,1,77,0.238176564560548,2022
"MLI0764",502,58,0,4,1,0,4,4,3,1,1,1,500,0,1,77,0.238176564560548,2022
"MLI0765",502,37,0,2,1,0,1,4,3,1,1,1,500,0,1,77,0.238176564560548,2022
"MLI0766",502,30,2,2,2,2,4,4,3,0,2,0,500,2,1,77,0.238176564560548,2022
"MLI0767",503,35,1,0,1,0,3,3,3,1,1,2,500,2,2,80,0.0571139595521401,2022
"MLI0768",503,75,1,0,0,0,4,4,3,2,2,2,504,1,2,80,0.0571139595521401,2022
"MLI0769",502,30,1,0,0,0,0,4,3,0,1,1,500,0,2,77,0.238176564560548,2022
"MLI0770",503,29,0,0,0,3,4,4,3,0,0,1,510,2,1,80,0.0571139595521401,2022
"MLI0771",502,30,3,3,1,2,4,4,3,0,0,0,500,0,2,77,0.238176564560548,2022
"MLI0772",502,54,2,3,1,0,4,4,3,9,9,9,500,0,2,77,0.238176564560548,2022
"MLI0773",503,32,0,0,0,0,0,4,3,0,1,1,510,6,2,80,0.0571139595521401,2022
"MLI0774",502,19,3,0,2,0,1,4,3,9,9,9,500,0,2,77,0.238176564560548,2022
"MLI0775",503,23,0,1,1,0,3,5,3,1,2,2,510,6,1,80,0.0571139595521401,2022
"MLI0776",503,67,0,0,0,0,0,4,3,1,1,1,510,6,1,80,0.0571139595521401,2022
"MLI0777",503,36,0,3,3,2,3,4,3,0,1,3,514,0,2,80,0.0571139595521401,2022
"MLI0778",503,30,0,0,0,0,2,4,3,2,0,3,508,6,1,80,0.0571139595521401,2022
"MLI0779",504,52,1,2,2,1,2,4,3,0,1,3,510,0,1,378,0.0836327634784406,2022
